"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.74749238038542e-254,1.068184065318,0.681,0.489,1.01453912168836e-250,"0","BIN2"
1.76552205205152e-251,0.999907621021297,0.723,0.556,3.7729206252341e-248,"0","AKAP13"
3.18592291087316e-242,1.01991431314396,0.63,0.391,6.80831726053594e-239,"0","ATM"
6.29121790944361e-241,1.16704989138645,0.512,0.267,1.3444332672481e-237,"0","CCND2"
2.87209399404032e-240,0.62518266768586,0.922,0.843,6.13766486526417e-237,"0","MT-CYB"
1.63763176564907e-238,1.30860141419207,0.411,0.188,3.49961908319207e-235,"0","ARHGEF3"
3.87980269901462e-238,1.18556928350744,0.465,0.227,8.29113836779425e-235,"0","SLAMF7"
1.8019519851445e-236,1.14536774147445,0.607,0.404,3.85077139225379e-233,"0","APOL6"
6.00071940293847e-235,1.13682593191228,0.379,0.153,1.28235373640795e-231,"0","RORA"
4.30963147046267e-232,1.29562964401715,0.459,0.236,9.20968245237873e-229,"0","CNOT6L"
3.51149336306497e-220,1.20339164514125,0.49,0.269,7.50406131686985e-217,"0","BTN3A1"
4.73544463834384e-218,1.17355288900664,0.463,0.242,1.01196451921408e-214,"0","PARP8"
1.90718334497713e-214,1.09705212626806,0.584,0.393,4.07565080821613e-211,"0","WIPF1"
4.02134751115675e-209,1.18006881862204,0.529,0.321,8.59361963134198e-206,"0","CCDC88C"
1.08485909306474e-203,0.982807689082505,0.532,0.3,2.31834388187935e-200,"0","EVL"
3.48598584557516e-200,1.20395374197299,0.449,0.246,7.44955175199412e-197,"0","ID2"
2.81049457606425e-195,0.907435022810728,0.679,0.529,6.00602690904929e-192,"0","DIAPH1"
2.06050166898772e-191,1.00009666171106,0.426,0.205,4.40329206662675e-188,"0","LCK"
1.03654291039362e-189,0.584720531854979,0.891,0.684,2.21509219951116e-186,"0","ITGB2"
3.67627301847536e-187,0.812760837642235,0.716,0.594,7.85619544048185e-184,"0","RBM39"
2.4395824644714e-183,0.804392281484175,0.75,0.626,5.21338772657539e-180,"0","IQGAP1"
1.33416368751504e-177,1.17121394467794,0.402,0.209,2.85110780021964e-174,"0","ARAP2"
1.65743917578053e-170,0.611243521212971,0.848,0.786,3.541947518643e-167,"0","HNRNPA2B1"
4.15654547160273e-170,0.886481361359069,0.657,0.518,8.88253767281504e-167,"0","STK4"
1.27939031424502e-169,1.12719849898954,0.433,0.244,2.73405710154161e-166,"0","ARHGAP25"
1.85992476756826e-167,1.21378080146459,0.345,0.171,3.97465922829338e-164,"0","CD300A"
